,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
124,4,1,1,1,2,1,6,0,2,1,0 GB,2,0,0,1,48900,3,1278,135
126,5,1,1,0,2,1,6,0,2,1,0 GB,0,3,0,0,41790,2,0,0
127,1,1,1,1,2,1,6,0,2,1,0 GB,0,0,1,1,57999,2,10,2
128,5,1,1,1,3,1,6,0,2,1,0 GB,2,3,0,0,45930,2,0,0
129,4,1,1,1,3,1,6,0,2,1,0 GB,0,0,1,1,55490,3,143,15
130,0,1,1,0,3,1,0,1,2,1,0 GB,0,0,0,0,32890,2,28,4
131,1,1,1,0,3,1,0,1,2,1,0 GB,2,0,0,1,35990,3,2124,233
132,5,1,1,1,3,1,0,1,2,1,0 GB,2,3,0,0,42490,3,276,40
133,5,1,1,1,3,1,0,1,2,1,0 GB,2,3,0,0,42190,2,250,21
134,5,1,1,0,3,1,0,1,2,1,0 GB,2,0,0,1,39490,3,1917,189
135,4,1,1,1,3,1,0,1,2,1,0 GB,2,0,0,1,43690,3,4999,490
136,0,1,1,0,2,1,0,1,2,1,0 GB,0,0,0,0,35990,2,17,0
137,5,1,1,1,3,1,0,1,2,0,0 GB,0,3,0,0,43800,3,17,0
138,1,1,1,0,3,1,0,1,2,0,0 GB,0,3,0,0,38990,2,0,0
139,0,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,0,34990,2,4203,490
140,0,1,1,1,3,1,0,1,2,1,0 GB,0,0,0,0,38900,2,13,0
141,5,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,0,39990,2,15,1
142,5,1,1,0,2,1,0,1,2,0,0 GB,0,3,0,0,40890,3,527,46
143,1,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,0,36990,2,103,10
144,4,1,1,1,2,1,0,1,2,1,0 GB,2,0,0,1,39990,2,324,45
145,4,1,1,1,2,1,0,1,2,1,0 GB,2,0,0,1,41990,3,69,5
146,5,1,1,1,2,1,0,1,2,0,0 GB,0,3,0,0,43970,2,16,0
147,4,1,1,1,2,1,0,1,2,1,0 GB,2,0,0,0,39790,2,40,3
148,0,1,1,0,2,1,0,1,2,0,0 GB,2,3,0,0,35590,2,12,1
149,4,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,1,36490,2,1146,175
150,0,1,1,0,2,1,0,1,2,1,0 GB,2,0,0,1,38990,3,1850,216
151,0,1,1,0,2,1,0,1,2,0,0 GB,2,3,0,0,33990,2,43,7
