,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
128,5,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,45930,3 stars,0,0
129,4,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,Yes,Yes,55490,4 stars,143,15
130,0,1,1,0,3,1,0,1,2,1,0 GB,Casual,1 year,No,No,32890,3 stars,28,4
131,1,1,1,0,3,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,35990,4 stars,2124,233
132,5,1,1,1,3,1,0,1,2,1,0 GB,ThinNlight,No warranty,No,No,42490,4 stars,276,40
133,5,1,1,1,3,1,0,1,2,1,0 GB,ThinNlight,No warranty,No,No,42190,3 stars,250,21
134,5,1,1,0,3,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,39490,4 stars,1917,189
135,4,1,1,1,3,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,43690,4 stars,4999,490
136,0,1,1,0,2,1,0,1,2,1,0 GB,Casual,1 year,No,No,35990,3 stars,17,0
137,5,1,1,1,3,1,0,1,2,0,0 GB,Casual,No warranty,No,No,43800,4 stars,17,0
138,1,1,1,0,3,1,0,1,2,0,0 GB,Casual,No warranty,No,No,38990,3 stars,0,0
139,0,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,No,34990,3 stars,4203,490
140,0,1,1,1,3,1,0,1,2,1,0 GB,Casual,1 year,No,No,38900,3 stars,13,0
141,5,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,No,39990,3 stars,15,1
142,5,1,1,0,2,1,0,1,2,0,0 GB,Casual,No warranty,No,No,40890,4 stars,527,46
143,1,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,No,36990,3 stars,103,10
144,4,1,1,1,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,39990,3 stars,324,45
145,4,1,1,1,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,41990,4 stars,69,5
146,5,1,1,1,2,1,0,1,2,0,0 GB,Casual,No warranty,No,No,43970,3 stars,16,0
147,4,1,1,1,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,No,39790,3 stars,40,3
148,0,1,1,0,2,1,0,1,2,0,0 GB,ThinNlight,No warranty,No,No,35590,3 stars,12,1
149,4,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,36490,3 stars,1146,175
150,0,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,38990,4 stars,1850,216
151,0,1,1,0,2,1,0,1,2,0,0 GB,ThinNlight,No warranty,No,No,33990,3 stars,43,7
152,5,1,1,0,2,1,0,1,2,1,0 GB,Casual,1 year,No,Yes,43400,4 stars,231,26
153,0,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,24990,4 stars,502,93
154,4,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,40750,4 stars,1096,116
155,5,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,43000,4 stars,313,35
156,0,1,1,0,2,1,0,1,2,1,0 GB,Casual,No warranty,No,No,38000,4 stars,7,0
157,5,1,1,1,3,1,0,1,2,1,0 GB,ThinNlight,1 year,No,Yes,37990,3 stars,265,46
158,4,1,1,4,3,1,0,1,2,1,2 GB,Casual,No warranty,No,No,49279,4 stars,38,3
159,1,1,1,0,3,1,0,1,2,0,0 GB,Casual,No warranty,No,No,38999,3 stars,7,2
160,0,1,1,1,3,1,0,1,2,0,0 GB,Casual,No warranty,No,No,41500,3 stars,4,0
161,2,1,1,1,2,1,0,1,2,0,0 GB,Casual,No warranty,No,No,36999,3 stars,0,0
162,5,1,1,1,3,1,0,1,2,0,0 GB,Casual,No warranty,No,No,42900,3 stars,0,0
163,0,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,21490,3 stars,818,113
164,5,1,1,1,3,1,0,1,2,0,0 GB,Casual,No warranty,No,No,41480,3 stars,25,4
165,0,1,1,0,3,1,0,1,2,1,0 GB,Casual,No warranty,No,No,32990,2 stars,12,0
166,0,1,1,1,3,1,0,1,2,1,0 GB,Casual,1 year,No,No,38680,3 stars,17,1
167,0,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,23990,4 stars,974,170
168,5,1,1,0,3,1,0,1,2,1,0 GB,ThinNlight,No warranty,No,No,40390,3 stars,83,15
169,0,1,1,0,2,1,0,1,2,1,0 GB,ThinNlight,No warranty,No,No,33990,3 stars,31,6
170,0,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,20490,3 stars,637,91
171,5,1,1,0,3,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,41490,5 stars,7,5
172,5,1,1,1,3,1,4,1,2,1,0 GB,Casual,No warranty,No,No,45490,4 stars,207,16
173,5,1,1,1,3,1,4,1,2,1,0 GB,Casual,No warranty,No,No,44490,4 stars,844,103
174,0,1,1,1,3,1,4,1,2,1,0 GB,Casual,1 year,No,Yes,41890,4 stars,53,6
175,5,1,1,1,2,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,42990,4 stars,62,7
176,2,1,1,1,3,1,4,1,2,1,0 GB,Casual,No warranty,No,No,40990,4 stars,38,2
177,5,1,1,1,3,1,4,1,2,1,0 GB,ThinNlight,1 year,No,No,48990,4 stars,724,92
178,5,1,1,1,2,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,43590,3 stars,0,0
179,5,1,1,0,2,1,4,1,2,1,0 GB,Casual,1 year,No,No,44690,4 stars,9,0
180,0,1,1,0,2,1,4,1,2,1,0 GB,Casual,No warranty,No,No,40990,3 stars,0,0
181,5,1,1,1,2,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,43990,3 stars,0,0
183,5,1,1,0,2,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,41390,4 stars,56,7
184,5,1,1,0,2,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,44290,3 stars,0,0
185,5,1,1,1,2,1,4,1,2,1,0 GB,Casual,1 year,No,No,48999,3 stars,0,0
186,5,1,1,1,2,1,4,1,2,1,0 GB,ThinNlight,1 year,No,Yes,39990,3 stars,170,11
187,5,1,1,0,3,1,4,1,2,1,0 GB,ThinNlight,No warranty,No,No,46390,2 stars,95,5
